train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/std,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,train/n_updates,time/iterations
-0.04039241958671482,0.07009594,23.964170455932617,0.83697509765625,892,0.10629361867904663,1000.0,43.69343249201775,733,655360,0.2,2e-05,4.943300465494394,0.5345458984375,2724.79588246,6380,320
-0.046049841887725054,0.07029416,27.026445388793945,0.8775103688240051,913,0.10565119981765747,1000.0,73.72602464258671,740,675840,0.2,2e-05,4.9788773991167545,0.4738037109375,2752.05577553,6580,330
-0.04594925016972411,0.070299126,15.725476264953613,0.8835593461990356,933,0.1053718626499176,1000.0,65.94960331022739,746,696320,0.2,2e-05,4.998351830244064,0.472802734375,2789.82541021,6780,340
-0.04454324969337904,0.05843856,27.49831771850586,0.861910343170166,954,0.10467996448278427,1000.0,60.13628032207489,750,716800,0.2,2e-05,5.037282916158437,0.4841796875,2837.89086358,6980,350
-0.04808810474496568,0.06324674,39.32957458496094,0.9256793260574341,1000,0.10433142632246017,1000.0,72.88243702054024,736,737280,0.2,2e-05,5.057371012866497,0.4724853515625,2887.86461415,7180,360
-0.046459369360673006,0.06989573,29.465503692626953,0.9146792888641357,1022,0.10410404950380325,1000.0,78.55398008823394,741,757760,0.2,2e-05,5.067375551909208,0.473828125,2917.5175308400003,7380,370
-0.04357996328981244,0.06154894,30.079866409301758,0.8924583196640015,1048,0.10360065847635269,1000.0,83.676098716259,742,778240,0.2,2e-05,5.100081621855497,0.4929443359375,2953.7930676399997,7580,380
-0.03499792976290337,0.08634661,19.570524215698242,0.8798162937164307,1083,0.10349515825510025,1000.0,38.27160757780075,737,798720,0.2,2e-05,5.105427477508783,0.543359375,2979.1766583599992,7780,390
-0.044161980632634365,0.05591488,49.34674835205078,0.8785136342048645,1104,0.10308339446783066,1000.0,133.12603992819786,741,819200,0.2,2e-05,5.129875829815864,0.488916015625,2975.8961877,7980,400
-0.03341843749585678,0.098816775,26.462785720825195,0.8832144737243652,1142,0.10260725766420364,1000.0,70.32906504273414,734,839680,0.2,2e-05,5.161344554275274,0.5416748046875,3004.68675428,8180,410
-0.04043023179256124,0.06527734,40.987030029296875,0.8436341881752014,1171,0.10224898904561996,1000.0,96.69067614674569,734,860160,0.2,2e-05,5.180134698748589,0.4958740234375,3051.8031608100005,8380,420
-0.030859173218777868,0.08821095,28.554468154907227,0.8513350486755371,1191,0.1017504557967186,1000.0,54.34466544091701,739,880640,0.2,2e-05,5.212651347368956,0.5617431640625,3124.1409421499993,8580,430
-0.030057482817937853,0.08030001,27.655105590820312,0.8453929424285889,1212,0.10152236372232437,1000.0,70.96752338707446,743,901120,0.2,2e-05,5.2255320943892,0.55087890625,3194.5534988000004,8780,440
-0.0324143900143099,0.1003908,25.796417236328125,0.8613986372947693,1235,0.1011495590209961,1000.0,55.82980563044548,746,921600,0.2,2e-05,5.246576807647943,0.5520751953125,3264.956563179999,8980,450
-0.03551568147740909,0.09788303,24.140249252319336,0.8736099004745483,1254,0.10083942860364914,1000.0,56.111784502863884,750,942080,0.2,2e-05,5.262725488096476,0.556884765625,3321.9736596200005,9180,460
-0.035969280631979926,0.068980336,46.78337097167969,0.897098183631897,1278,0.10059645026922226,1000.0,96.55322255194187,752,962560,0.2,2e-05,5.281703694909811,0.5297119140625,3364.7834725899993,9380,470
-0.03052685108013975,0.082876965,20.970624923706055,0.9084692597389221,1299,0.10000766068696976,1000.0,83.96687808036805,756,983040,0.2,2e-05,5.314311335235834,0.5292236328125,3404.6817538100004,9580,480
-0.0359796850985731,0.084502995,46.57805633544922,0.8718915581703186,1321,0.09978533536195755,1000.0,96.25981589555741,759,1003520,0.2,2e-05,5.328856772184372,0.509423828125,3428.60394273,9780,490
-0.039263398457842415,0.069068514,43.25997543334961,0.90428227186203,1341,0.09976182132959366,1000.0,95.4246390581131,763,1024000,0.2,2e-05,5.3303824417293075,0.5009521484375,3469.6917898299994,9980,500
